origin,dutch,fg,nw,openness,conscientiousness,extraversion,agreeableness,neuroticism,ideology,polintr,poleff,involvement,polpar,media,poltr,stfdem,antiimm,eu
102,0,1,1,0.638888888888889,0.542857142857143,0.526315789473684,0.6,0.684210526315789,0.010348956300127131,-0.838090016999949,-0.0490058886114185,0.141805513787274,0.2286018554701579,-0.495089063290843,-0.4414836507008039,-0.6440252264120618,0.0286360252508513,1.0923833113713637
0,1,0,0,0.5,0.771428571428571,0.736842105263158,0.657142857142857,0.368421052631579,-0.45992687184983827,-0.00671068518950132,-0.0490058886114185,0.614773604682551,0.2286018554701579,-0.495089063290843,0.47403159470332085,0.057358155958812065,0.348343423414925,0.24279844041613038
0,1,0,0,0.555555555555556,0.857142857142857,0.421052631578947,0.542857142857143,0.184210526315789,0.9509006126000579,0.824668646620947,-0.655589887646087,-0.331162577108004,0.2286018554701579,-0.495089063290843,-0.4414836507008039,0.057358155958812065,0.87544769603038,-0.6067864305391029
0,1,0,0,0.888888888888889,0.914285714285714,0.868421052631579,1,0.157894736842105,-0.22478895777485555,-0.00671068518950132,-0.0490058886114185,0.141805513787274,NA,0.0296488697598128,-1.1281200847538975,-1.3454086087829358,0.54856210369446,-0.6067864305391029
202,0,0,1,0.583333333333333,0.4,0.368421052631579,0.371428571428571,0.342105263157895,0.010348956300127131,0.824668646620947,-0.352297888128753,-0.331162577108004,NA,0.0296488697598128,0.01627397200125847,0.29115261674910337,-0.652460050774045,-0.6067864305391029
0,1,0,0,0.888888888888889,0.828571428571429,0.657894736842105,0.885714285714286,0.236842105263158,0.4806247844500925,-0.00671068518950132,-0.0490058886114185,1.56070978647311,0.2286018554701579,0.0296488697598128,-0.4414836507008039,-0.4102307656217705,-0.476001027040003,-0.6067864305391029
0,1,0,0,0.611111111111111,0.4,0.736842105263158,0.6,0.184210526315789,NA,-0.00671068518950132,-0.0490058886114185,-0.331162577108004,-1.0925042162585452,-0.495089063290843,-1.1281200847538975,-1.1116141479926445,0.281231689649828,NA
0,1,0,0,0.638888888888889,0.857142857142857,0.736842105263158,0.914285714285714,0.605263157894737,-0.45992687184983827,-0.00671068518950132,-0.0490058886114185,0.141805513787274,-1.0925042162585452,-0.495089063290843,-0.21260483934977273,-0.17643630483147923,0.017892596271441,0.24279844041613038
101,0,1,0,0.75,0.428571428571429,0.5,0.257142857142857,0.289473684210526,0.24548687037510983,0.824668646620947,0.254286110905916,2.03367787736839,0.2286018554701579,0.554386802810468,0.01627397200125847,-0.6440252264120618,0.704874430247291,-0.6067864305391029
0,1,0,0,0.75,0.571428571428571,0.657894736842105,0.714285714285714,0.368421052631579,0.010348956300127131,-0.00671068518950132,0.557578110423251,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.47403159470332085,0.29115261674910337,-0.465257598060593,0.24279844041613038
101,0,1,0,0.444444444444444,0.428571428571429,0.473684210526316,0.428571428571429,0.526315789473684,0.010348956300127131,-0.00671068518950132,-0.0490058886114185,0.141805513787274,0.2286018554701579,-0.495089063290843,0.01627397200125847,-0.17643630483147923,0.205095048984894,-0.6067864305391029
0,1,0,0,0.527777777777778,0.857142857142857,0.552631578947368,0.971428571428571,0.210526315789474,0.4806247844500925,-0.00671068518950132,-0.352297888128753,-0.331162577108004,0.2286018554701579,0.0296488697598128,NA,NA,0.368537845152853,NA
102,0,1,1,0.472222222222222,0.457142857142857,0.447368421052632,0.428571428571429,0.5,0.24548687037510983,-0.838090016999949,-0.0490058886114185,0.141805513787274,0.2286018554701579,-0.495089063290843,-0.21260483934977273,-0.17643630483147923,-0.304135325036022,-0.6067864305391029
101,0,1,0,0.611111111111111,0.542857142857143,0.631578947368421,0.571428571428571,0.421052631578947,-0.45992687184983827,-0.838090016999949,0.860870109940585,-0.331162577108004,NA,-1.0198269963415,0.47403159470332085,NA,0.337599994435515,NA
0,1,0,0,0.583333333333333,0.828571428571429,0.868421052631579,0.485714285714286,0.210526315789474,0.7157626985250752,-0.00671068518950132,-0.0490058886114185,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.24515278335228965,0.5249470775393946,0.167026728652426,0.24279844041613038
201,0,0,0,0.694444444444444,0.8,0.631578947368421,0.457142857142857,0.315789473684211,0.4806247844500925,-0.00671068518950132,0.557578110423251,0.614773604682551,0.2286018554701579,0.0296488697598128,0.47403159470332085,0.5249470775393946,-0.138372005724673,0.667590875893747
0,1,0,0,0.305555555555556,0.885714285714286,0.289473684210526,0.742857142857143,0.736842105263158,0.7157626985250752,-0.00671068518950132,-0.655589887646087,-0.331162577108004,0.2286018554701579,0.0296488697598128,0.01627397200125847,-0.17643630483147923,-0.312558230872043,-0.18199399506148622
